repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
846|6042	Y_OTU_3920	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium perangustum
846|6072	Y_OTU_3919	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium perangustum
846|6080	Y_OTU_4958	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|609	Y_OTU_4926	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6107	Y_OTU_4919	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6127	Y_OTU_28292	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
846|6129	Y_OTU_17116	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6159	Y_OTU_28231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
846|616	Y_OTU_17081	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6204	Y_OTU_28228	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
846|625	Y_OTU_17141	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6262	Y_OTU_17137	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6286	Y_OTU_17089	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6294	Y_OTU_4911	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6295	Y_OTU_17107	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6312	Y_OTU_17112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
846|6325	Y_OTU_18445	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6347	Y_OTU_4852	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6351	Y_OTU_28302	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
846|6393	Y_OTU_4898	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6425	Y_OTU_17091	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6440	Y_OTU_275	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon rogersii
846|6441	Y_OTU_17080	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6450	Y_OTU_28316	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
846|6452	Y_OTU_3913	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium perangustum
846|6462	Y_OTU_4868	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6477	Y_OTU_17143	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6483	Y_OTU_1810	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	Aureobasidium pullulans
846|6492	Y_OTU_17131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|6499	Y_OTU_4924	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6514	Y_OTU_4950	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6538	Y_OTU_303	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon rogersii
846|6539	Y_OTU_4945	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|6550	Y_OTU_28353	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
