repseq	OTUS	domain	phylum	class	order	family	genus
701|270	OTU_2808	acteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria
701|287	OTU_2807	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
701|372	OTU_441	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
701|374	OTU_2809	acteria	acteroidetes	acteroidia	acteroidales	Porphyromonadaceae	Macellibacteroides
701|4	OTU_2811	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Epilithonimonas
701|54	OTU_2810	acteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified_Myxococcales	unclassified_Myxococcales
702|1017	OTU_443	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|1050	OTU_2821	acteria	Proteobacteria	etaproteobacteria	urkholderiales	Comamonadaceae	unclassified_Comamonadaceae
702|1051	OTU_2828	acteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
702|1091	OTU_2839	acteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
702|1101	OTU_2830	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|1111	OTU_3496	acteria	Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	Parcubacteria_genera_incertae_sedis
702|1113	OTU_444	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
702|1175	OTU_2822	acteria	acteroidetes	acteroidia	acteroidales	Porphyromonadaceae	Dysgonomonas
702|1196	OTU_117	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|1228	OTU_2820	acteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
702|1229	OTU_442	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
702|1248	OTU_2843	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
702|125	OTU_2845	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified_Flavobacteriaceae
702|1252	OTU_2819	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified_Flavobacteriaceae
702|1262	OTU_3495	acteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera
702|160	OTU_2812	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Alsobacter
70|217	OTU_449	acteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	unclassified_Alphaproteobacteria_incertae_sedis	Rhizomicrobium
702|17	OTU_2825	acteria	acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes
702|192	OTU_2815	acteria	Firmicutes	acilli	acillales	acillaceae 1	unclassified_acillaceae 1
702|246	OTU_2841	acteria	Firmicutes	acilli	acillales	Planococcaceae	Sporosarcina
702|260	OTU_3492	acteria	acteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter
702|269	OTU_3493	acteria	Proteobacteria	Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria
702|300	OTU_2826	acteria	Actinobacteria	Actinobacteria	Actinomycetales	ogoriellaceae	Georgenia
70|231	OTU_2893	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula
702|34	OTU_118	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|370	OTU_445	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|377	OTU_2844	acteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
702|391	OTU_2846	acteria	Verrucomicrobia	Spartobacteria	unclassified_Spartobacteria	unclassified_Spartobacteria	Spartobacteria_genera_incertae_sedis
702|406	OTU_2838	acteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
702|411	OTU_2824	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
702|426	OTU_3491	acteria	acteroidetes	Cytophagia	Cytophagales	unclassified_Cytophagales	Ohtaekwangia
702|433	OTU_2840	acteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	unclassified_Verrucomicrobiaceae
702|45	OTU_2832	acteria	acteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	unclassified_Chitinophagaceae
702|50	OTU_2813	acteria	Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	Parcubacteria_genera_incertae_sedis
702|569	OTU_2817	acteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
702|59	OTU_2814	acteria	Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia	unclassified_Verrucomicrobia
702|592	OTU_2833	acteria	Firmicutes	acilli	acillales	unclassified_acillales	unclassified_acillales
702|604	OTU_2818	acteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	unclassified_Polyangiaceae
702|615	OTU_3497	acteria	Firmicutes	acilli	acillales	Paenibacillaceae 1	Paenibacillus
702|672	OTU_3494	acteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	unclassified_Oceanospirillaceae
702|674	OTU_2836	acteria	Proteobacteria	etaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified_Rhodocyclaceae
702|688	OTU_2827	acteria	Proteobacteria	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria
70|27	OTU_2897	acteria	candidate division WPS-1	unclassified_candidate division WPS-1	unclassified_candidate division WPS-1	unclassified_candidate division WPS-1	WPS-1_genera_incertae_sedis
702|707	OTU_2837	acteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	unclassified_Parachlamydiaceae
702|738	OTU_2834	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
702|752	OTU_2842	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
702|761	OTU_2816	acteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum
702|762	OTU_2829	acteria	Proteobacteria	Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria
702|775	OTU_2835	acteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified_Enterobacteriaceae
702|852	OTU_2831	acteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified_Enterobacteriaceae
