repseq	OTUS	domain	phylum	class	order	family	genus
68|899	OTU_4035	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
6|890	OTU_4166	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
689|106	OTU_4006	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Zavarzinella
689|120	OTU_4005	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
689|13	OTU_4013	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
689|163	OTU_4012	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
689|178	OTU_499	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
689|204	OTU_4009	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
689|226	OTU_4007	Bacteria	Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes
689|339	OTU_4011	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
689|412	OTU_4008	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
689|430	OTU_4010	Bacteria	Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes	unclassified_Bacteroidetes
68|946	OTU_4020	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Thiopseudomonas
